ciiu,descripcion
C1392.01       ,"FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS CON CUALQUIER TIPO DE MATERIAL TEXTIL, INCLUIDOS TEJIDOS (TELAS) DE PUNTO Y GANCHILLO: FRAZADAS, MANTAS DE VIAJE, SOBRECAMAS, COBIJAS, EDREDONES, ROPA DE CAMA, SÁBANAS, MANTELERÍA, TOALLAS Y ARTÍCULOS DE COCINA ACOLCHADOS, EDREDONES, COJINES, PUFÉS, ALMOHADAS, SACOS DE DORMIR, ARTÍCULOS PARA EL BAÑO, ETCÉTERA, INCLUIDO  TEJIDOS PARA MANTAS ELÉCTRICAS."
C1392.02       ,"FABRICACIÓN DE ACCESORIOS CONFECCIONADOS PARA EL HOGAR: CORTINAS, CENEFAS, VISILLOS."
C1392.03       ,"FABRICACIÓN DE ARTÍCULOS DE LONA O ENCERADOS: TIENDAS DE CAMPAÑA, ARTÍCULOS DE ACAMPADA, VELAS, TOLDOS DE PROTECCIÓN CONTRA EL SOL, CARPAS, FUNDAS PARA EMBALAR MERCADERÍAS, ETCÉTERA."
C1392.04       ,FABRICACIÓN DE TAPICES TEJIDOS A MANO.
C1392.05       ,"FABRICACIÓN DE BANDERAS, BANDERINES, GALLARDETES, ESTANDARTES, ETCÉTERA."
C1392.06       ,"FABRICACIÓN DE FUNDAS (FORROS) O COBERTORES DE ASIENTOS PARA AUTOMÓVILES, FUNDAS PARA MAQUINARIAS, MUEBLES, NEUMÁTICOS, ETCÉTERA."
C1392.07       ,"SERVICIOS DE APOYO A LA FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO."
C1392.09       ,"FABRICACIÓN DE OTROS ARTÍCULOS CONFECCIONADOS CON TEXTILES: PAÑOS PARA DESEMPOLVAR, PAÑOS DE COCINA Y ARTÍCULOS SIMILARES, CHALECOS SALVAVIDAS, PARACAÍDAS, ETCÉTERA."
C1393          ,FABRICACIÓN DE TAPICES Y ALFOMBRAS.
C1393.0        ,FABRICACIÓN DE TAPICES Y ALFOMBRAS.
C1393.01       ,"FABRICACIÓN DE RECUBRIMIENTOS PARA PISOS DE MATERIALES TEXTILES: TAPICES, ALFOMBRAS, ESTERAS, RECUADROS DE MOQUETA (ALFOMBRA)."
C1393.02       ,FABRICACIÓN DE RECUBRIMIENTOS PARA PISOS DE FIELTRO PUNZONADO.
C1393.03       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE TAPICES Y ALFOMBRAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1394          ,"FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES Y REDES."
C1394.0        ,"FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES Y REDES."
C1394.01       ,"FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES E HILOS DE FIBRAS TEXTILES O DE CINTAS O SIMILARES, ESTÉN O NO IMPREGNADOS, REVESTIDOS, CUBIERTOS O FORRADOS CON CAUCHO O PLÁSTICO."
C1394.02       ,"FABRICACIÓN DE MALLAS ANUDADAS DE CUERDA, CORDEL O BRAMANTE: REDES DE PESCA, DEFENSAS PARA BORDOS, COJINES PARA DESCARGA, ESLINGAS, CUERDAS Y MAROMAS CON AROS METÁLICOS, ETCÉTERA, INCLUIDO FABRICACIÓN DE HAMACAS, BOLSAS DE RED PARA PELOTAS, REDES PARA DEPORTES, ETCÉTERA."
C1394.03       ,"SERVICIOS DE APOYO A LA FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES Y REDES A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO."
C1399          ,FABRICACIÓN DE OTROS PRODUCTOS TEXTILES N.C.P.
C1399.0        ,FABRICACIÓN DE OTROS PRODUCTOS TEXTILES N.C.P.
C1399.01       ,"FABRICACIÓN DE TEJIDOS (TELAS) ESTRECHOS, INCLUIDOS LOS DE URDIMBRE SIN TRAMA SUJETOS POR UNA SUSTANCIA ADHESIVA: MARBETES, INSIGNIAS, ETCÉTERA; ARTÍCULOS DE PASAMANERÍA: CORDONES DE MATERIALES TEXTILES PARA ZAPATOS, TRENCILLAS, BORLAS, MADROÑOS, TULES Y OTROS TEJIDOS (TELAS) DE MALLAS ANUDADAS, DE ENCAJE Y BORDADOS, EN PIEZAS, TIRAS O MOTIVOS DECORATIVOS, TEJIDOS (TELAS) DE RED Y DEL TIPO QUE SE UTILIZA PARA LA CONFECCIÓN DE VISILLOS TRICOTADOS EN MÁQUINAS RASCHEL O MÁQUINAS SIMILARES."
C1399.02       ,"FABRICACIÓN DE TEJIDOS (TELAS) IMPREGNADOS, REVESTIDOS, RECUBIERTOS O LAMINADOS CON PLÁSTICO."
C1399.03       ,"FABRICACIÓN DE HILADOS METALIZADOS E HILADOS ENTORCHADOS; HILOS Y CUERDAS DE CAUCHO REVESTIDOS DE MATERIALES TEXTILES; HILADOS Y BANDAS TEXTILES RECUBIERTOS IMPREGNADOS, REVESTIDOS O FORRADOS CON CAUCHO O PLÁSTICO."
C1399.04       ,FABRICACIÓN DE TEJIDOS DE HILADOS DE GRAN RESISTENCIA PARA CUERDAS DE NEUMÁTICOS.
C1399.05       ,"FABRICACIÓN DE TEJIDOS TRATADOS O REVESTIDOS: PAPEL TELA, LIENZOS PREPARADOS PARA PINTORES, BOCACÍ Y TEJIDOS RÍGIDOS SIMILARES, TEJIDOS REVESTIDOS CON GOMA O SUSTANCIAS AMILÁCEAS."
C1399.06       ,"FABRICACIÓN DE ARTÍCULOS TEXTILES DIVERSOS: MECHAS DE MATERIALES TEXTILES, CAMISAS PARA MECHEROS DE GAS INCANDESCENTES Y TEJIDOS TUBULARES PARA SU FABRICACIÓN, MANGUERAS, CORREAS TRANSPORTADORAS Y CORREAJE DE TRANSMISIÓN (ESTÉN REFORZADOS O NO CON METALES U OTROS MATERIALES), TELA PARA TAMICES, TELA DE FILTRACIÓN, FIELTRO, ETCÉTERA."
C1399.07       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE OTROS PRODUCTOS TEXTILES N.C.P A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1399.09       ,"FABRICACIÓN DE OTROS PRODUCTOS TEXTILES: ADORNOS PARA VEHÍCULOS AUTOMOTORES, CINTA-TEJIDO SENSIBLE A LA PRESIÓN, ETCÉTERA."
C14            ,FABRICACIÓN DE PRENDAS DE VESTIR.
C141           ,"FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL."
C1410          ,"FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL."
C1410.0        ,FABRICACIÓN DE PRENDAS DE VESTIR.
C1410.01       ,"FABRICACIÓN DE PRENDAS DE VESTIR DE CUERO O CUERO REGENERADO, INCLUIDOS ACCESORIOS DE TRABAJO DE CUERO COMO: MANDILES PARA SOLDADORES, ROPA DE TRABAJO, ETCÉTERA."
C1410.02       ,"FABRICACIÓN DE PRENDAS DE VESTIR DE TELAS TEJIDAS, DE PUNTO Y GANCHILLO, DE TELAS NO TEJIDAS, ENTRE OTRAS, PARA HOMBRES, MUJERES, NIÑOS Y BEBES: ABRIGOS, TRAJES, CONJUNTOS, CHAQUETAS, PANTALONES, FALDAS, CALENTADORES, TRAJES DE BAÑO, ROPA DE ESQUÍ, UNIFORMES, CAMISAS, CAMISETAS, ETCÉTERA."
C1410.03       ,"FABRICACIÓN DE ROPA INTERIOR Y ROPA DE DORMIR DE TELAS TEJIDAS, DE PUNTO Y GANCHILLO, DE ENCAJE, ETCÉTERA, PARA HOMBRES, MUJERES Y NIÑOS: PANTIES, CALZONCILLOS, PIJAMAS, CAMISONES, BATAS, BLUSAS, SLIPS, SUJETADORES, FAJAS, ETCÉTERA."
C1410.04       ,"ACTIVIDADES DE CONFECCIÓN A LA MEDIDA DE PRENDAS DE VESTIR (COSTURERAS, SASTRES)."
C1410.09       ,"FABRICACIÓN DE OTROS ACCESORIOS DE VESTIR: GUANTES, CINTURONES, CHALES, CORBATAS, CORBATINES, REDECILLAS PARA EL CABELLO, CALZADO DE MATERIALES TEXTILES SIN APLICACIÓN DE SUELAS, ETCÉTERA, INCLUIDO LA FABRICACIÓN DE PARTES DE PRODUCTOS O PRENDAS TEXTILES."
C142           ,FABRICACIÓN DE ARTÍCULOS DE PIEL.
C1420          ,FABRICACIÓN DE ARTÍCULOS DE PIEL.
C1420.0        ,FABRICACIÓN DE ARTÍCULOS DE PIEL.
C1420.01       ,"FABRICACIÓN DE ARTÍCULOS DE PIEL (CON PELO NATURAL): PRENDAS Y ACCESORIOS DE PIEL INCLUIDO LOS CONFECCIONADOS CON PIELES ?ALARGADAS?, PLANCHAS, CUADRADOS, TIRAS, ETCÉTERA."
C1420.02       ,"FABRICACIÓN DE ARTÍCULOS DIVERSOS DE PIEL (CON PELO NATURAL): ALFOMBRAS, PUFS SIN RELLENO, PAÑOS PARA PULIMENTO INDUSTRIAL."
C1420.03       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE ARTÍCULOS DE PIEL A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C143           ,FABRICACIÓN DE ARTÍCULOS DE PUNTO Y GANCHILLO.
C1430          ,FABRICACIÓN DE ARTÍCULOS DE PUNTO Y GANCHILLO.
C1430.0        ,FABRICACIÓN DE ARTÍCULOS DE PUNTO Y GANCHILLO.
C1430.01       ,"FABRICACIÓN DE ARTÍCULOS DE CONFECCIÓN DE PUNTO Y GANCHILLO: JERSEYS, SUÉTERES, CHALECOS, CAMISETAS Y ARTÍCULOS SIMILARES."
C1430.02       ,"FABRICACIÓN DE MEDIAS, INCLUIDOS CALCETINES, LEOTARDOS Y PANTIMEDIAS."
C1430.03       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE ARTÍCULOS DE PUNTO Y GANCHILLO A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C15            ,FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS.
C151           ,"CURTIDO Y ADOBO DE CUEROS; FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA; ADOBO Y TEÑIDO DE PIELES."
C1511          ,CURTIDO Y ADOBO DE CUEROS; ADOBO Y TEÑIDO DE PIELES.
C1511.0        ,CURTIDO Y ADOBO DE CUEROS; ADOBO Y TEÑIDO DE PIELES.
C1511.01       ,"ACTIVIDADES DE DESCARNADURA, TUNDIDO, DEPILADO, ENGRASE, CURTIDO, BLANQUEO, TEÑIDO, ADOBO DE PIELES Y CUEROS DE PIELES FINAS Y CUEROS CON PELO."
C1511.02       ,"FABRICACIÓN DE CUEROS REGENERADOS (ARTIFICIALES), CUEROS GAMUZADOS Y APERGAMINADOS, CHAROL Y CUEROS METALIZADOS."
C1511.03       ,SERVICIOS DE APOYO AL CURTIDO Y ADOBO DE CUEROS; ADOBO Y TEÑIDO DE PIELES A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1512          ,"FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y ARTÍCULOS SIMILARES, ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA."
C1512.0        ,"FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y ARTÍCULOS SIMILARES, ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA."
C1512.01       ,"FABRICACIÓN DE MALETAS, BOLSOS DE MANO, MOCHILAS Y ARTÍCULOS SIMILARES, DE CUERO, CUERO REGENERADO O CUALQUIER OTRO MATERIAL, COMO PLÁSTICO, MATERIALES TEXTILES, FIBRAS VULCANIZADAS O CARTÓN, CUANDO SE USA LA MISMA TECNOLOGÍA QUE EN EL CASO DEL CUERO."
C1512.02       ,"FABRICACIÓN DE ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA: SILLAS DE MONTAR, ARREOS, LÁTIGOS Y FUSTAS."
C1512.03       ,"SERVICIOS DE APOYO A LA FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y ARTÍCULOS SIMILARES, ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO."
C1512.09       ,"FABRICACIÓN DE OTROS ARTÍCULOS DIVERSOS DE CUERO O CUERO REGENERADO: CORREAS DE TRANSMISIÓN, CORDONES DE CUERO PARA ZAPATOS, CORREAS NO METÁLICAS PARA RELOJES (DE MATERIALES TEXTILES, CUERO Y PLÁSTICO), ARTÍCULOS DE ENVASE O EMBALAJE, ARTÍCULOS USADOS CON FINES TÉCNICOS, ETCÉTERA."
C152           ,FABRICACIÓN DE CALZADO.
C1520          ,FABRICACIÓN DE CALZADO.
C1520.0        ,FABRICACIÓN DE CALZADO.
C1520.01       ,"FABRICACIÓN DE CALZADO, BOTINES, POLAINAS Y ARTÍCULOS SIMILARES PARA TODO USO, DE CUALQUIER MATERIAL Y MEDIANTE CUALQUIER PROCESO, INCLUIDO EL MOLDEADO (APARADO DE CALZADO)."
C1520.02       ,"FABRICACIÓN DE PARTES DE CUERO PARA CALZADO: PALAS Y PARTES DE PALAS, SUELAS Y PLANTILLAS, TACONES, ETCÉTERA."
C1520.03       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE CALZADO A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C16            ,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES."
C161           ,ASERRADO Y ACEPILLADURA DE MADERA.
C1610          ,ASERRADO Y ACEPILLADURA DE MADERA.
C1610.0        ,ASERRADO Y ACEPILLADURA DE MADERA.
C1610.01       ,"ACTIVIDADES DE SECADO, ASERRADO, ACEPILLADURA Y MAQUINADO DE MADERA TABLEADO, DESCORTEZADO Y DESMENUZAMIENTO DE TRONCOS; OBTENCIÓN DE LANA DE MADERA, HARINA DE MADERA Y PARTÍCULAS DE MADERA; IMPREGNACIÓN Y TRATAMIENTO QUÍMICO DE LA MADERA CON AGENTES CONSERVANTES Y OTRAS SUSTANCIAS (MADERA PREPARADA O TRATADA)."
C1610.02       ,"FABRICACIÓN DE TABLETAS PARA LA ENSAMBLADURA DE PISOS DE MADERA (DUELA, MEDIA DUELA, PARQUET)."
C1610.03       ,SERVICIOS DE APOYO AL ASERRADO Y ACEPILLADURA DE MADERA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1610.09       ,"FABRICACIÓN DE OTROS TIPOS DE MADERA EN BRUTO: RODRIGONES, ESTACAS, TABLILLAS, TRAVIESAS DE MADERA (DURMIENTES) PARA VÍAS FÉRREAS, ETCÉTERA."
C162           ,FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS A BASE DE MADERA.
C1621          ,FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS A BASE DE MADERA.
C1621.0        ,FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS A BASE DE MADERA.
C1621.01       ,"FABRICACIÓN DE HOJAS DE MADERA (ALISADAS, TEÑIDAS, BAÑADAS, IMPREGNADAS, REFORZADAS CON PAPEL O TELA, CORTADAS EN FIGURAS) PARA ENCHAPADO SUFICIENTEMENTE DELGADAS PARA PRODUCIR MADERA ENCHAPADA, TABLEROS CONTRACHAPADOS Y OTROS FINES; FABRICACIÓN DE TABLEROS CONTRACHAPADOS, TABLEROS DE MADERA ENCHAPADA Y OTROS TABLEROS Y HOJAS DE MADERA LAMINADA, TABLEROS DE FIBRA Y TABLEROS DE PARTÍCULAS, MADERA COMPACTADA, MADERA LAMINADA ENCOLADA."
C1621.02       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS A BASE DE MADERA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1622          ,FABRICACIÓN DE PARTES Y PIEZAS DE CARPINTERÍA PARA EDIFICIOS Y CONSTRUCCIONES.
C1622.0        ,FABRICACIÓN DE PARTES Y PIEZAS DE CARPINTERÍA PARA EDIFICIOS Y CONSTRUCCIONES.
C1622.01       ,"FABRICACIÓN DE PRODUCTOS DE MADERA UTILIZADOS PRINCIPALMENTE POR LA INDUSTRIA DE LA CONSTRUCCIÓN: VIGAS, CABRÍOS, JABALCONES, PUNTALES, ARMAZONES DE MADERA LAMINADA ENCOLADA Y ARMAZONES DE MADERA PREFABRICADOS CON UNIONES DE METAL, ANDAMIOS, POSTES, ETCÉTERA."
C1622.02       ,"FABRICACIÓN DE PUERTAS, VENTANAS, CONTRAVENTANAS Y SUS MARCOS, TENGAN O NO HERRAJES, COMO BISAGRAS, CERRADURAS, ESCALERAS, BARANDALES, BOCELES Y MOLDURAS; RIPIAS, DUELAS DE MADERA, BLOQUES, LISTONES, ETCÉTERA, ENSAMBLADOS EN TABLEROS PARA PISOS DE PARQUÉT; TABIQUES (MAMPARAS) DE MADERA (EXCEPTO LOS AUTOESTABLES)."
C1622.03       ,"FABRICACIÓN DE CASAS MÓVILES, EDIFICIOS PREFABRICADOS Y COMPONENTES DE LOS MISMOS, PREDOMINANTEMENTE DE MADERA, POR EJEMPLO SAUNAS."
C1622.04       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE PARTES Y PIEZAS DE CARPINTERÍA PARA EDIFICIOS Y CONSTRUCCIONES A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1623          ,FABRICACIÓN DE RECIPIENTES DE MADERA.
C1623.0        ,FABRICACIÓN DE RECIPIENTES DE MADERA.
C1623.01       ,"FABRICACIÓN DE CAJAS, CAJONES, BARRILES Y ENVASES SIMILARES, TONELES, BARRICAS, CUBAS, TINAS Y OTROS PRODUCTOS DE TONELERÍA DE MADERA."
C1623.02       ,"FABRICACIÓN DE PALETAS, PALETAS-CAJA Y OTRAS BANDEJAS DE MADERA PARA OPERACIONES DE CARGA."
C1623.03       ,FABRICACIÓN DE CARRETES DE MADERA PARA CABLES.
C1623.04       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE RECIPIENTES DE MADERA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1629          ,"FABRICACIÓN DE OTROS PRODUCTOS DE MADERA; FABRICACIÓN DE ARTÍCULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES."
C1629.1        ,FABRICACIÓN DE DIVERSOS PRODUCTOS DE MADERA.
C1629.11       ,"FABRICACIÓN DE PRODUCTOS DE MADERA: MANGOS Y MONTURAS DE HERRAMIENTAS, CEPILLOS Y ESCOBAS."
C1629.12       ,"FABRICACIÓN DE PARTES DE MADERA PARA BOTAS O ZAPATOS (TACONES), HORMAS Y TENSORES PARA BOTAS O ZAPATOS."
C1629.13       ,FABRICACIÓN DE UTENSILIOS DE COCINA Y PARA USO DOMÉSTICO DE MADERA.
C1629.14       ,FABRICACIÓN DE ESTATUILLAS Y ORNAMENTOS DE MADERA Y ARTÍCULOS DE MARQUETERÍA Y TARACEA.
C1629.15       ,"FABRICACIÓN DE MARCOS DE MADERA PARA ESPEJOS Y CUADROS, FABRICACIÓN DE BASTIDORES DE MADERA PARA LIENZOS DE PINTOR."
C1629.16       ,"FABRICACIÓN DE CAJAS DE MADERA PARA JOYAS, CUCHILLOS Y ARTÍCULOS SIMILARES."
C1629.17       ,"FABRICACIÓN DE CARRETES, TAPAS, CANILLAS DE BOBINAS, CARRETES PARA HILOS DE COSER Y ARTÍCULOS SIMILARES DE MADERA TORNEADA."
C1629.18       ,"FABRICACIÓN DE ARTÍCULOS DE MADERA PARA MOBLAJE DEL TIPO APLIQUE COMO: PERCHEROS PARA ROPA Y SOMBREROS, PERO NO MUEBLES EN PIE, PERCHAS DE MADERA."
C1629.19       ,"FABRICACIÓN DE OTROS ARTÍCULOS DE MADERA: MANGOS (EMPUÑADURAS) PARA PARAGUAS, BASTONES Y SIMILARES, BLOQUES DE MADERA PARA LA ELABORACIÓN DE PIPAS; PALILLOS, PALETAS PARA HELADOS, PINCHOS, BAJA LENGUAS, ETCÉTERA, TRONCOS DE CHIMENEA HECHOS DE MADERA PRENSADA O DE OTROS MATERIALES PRENSADOS, COMO MOLEDURAS DE CAFÉ O DE HABAS DE SOYA."
C1629.2        ,"FABRICACIÓN DE ARTÍCULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES."
C1629.21       ,"PROCESAMIENTO DE CORCHO NATURAL, FABRICACIÓN DE CORCHO AGLOMERADO."
C1629.22       ,"FABRICACIÓN DE ARTÍCULOS DE CORCHO NATURAL O CORCHO AGLOMERADO, INCLUIDOS CUBRIMIENTOS PARA PISOS."
C1629.23       ,"FABRICACIÓN DE TRENZAS Y ARTÍCULOS SIMILARES DE MATERIALES TRENZABLES: ESTERAS, ESTERILLAS, PERSIANAS, CAJAS, CESTOS Y ARTÍCULOS DE MIMBRE, ETCÉTERA."
C1629.3        ,"SERVICIOS DE APOYO A LA FABRICACIÓN DE OTROS PRODUCTOS DE MADERA; FABRICACIÓN DE ARTÍCULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES."
C1629.30       ,"SERVICIOS DE APOYO A LA FABRICACIÓN DE OTROS PRODUCTOS DE MADERA; FABRICACIÓN DE ARTÍCULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO."
C17            ,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL.
C170           ,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL.
C1701          ,"FABRICACIÓN DE PASTA DE MADERA, PAPEL Y CARTÓN."
C1701.0        ,"FABRICACIÓN DE PASTA DE MADERA, PAPEL Y CARTÓN."
C1701.01       ,"FABRICACIÓN DE PASTA DE MADERA BLANQUEADA, SEMIBLANQUEADA O SIN BLANQUEAR MEDIANTE PROCESOS MECÁNICOS, QUÍMICOS (CON O SIN DISOLUCIÓN) O SEMIQUÍMICOS."
C1701.02       ,"FABRICACIÓN DE PASTA DE PAPEL A PARTIR DE LA ELIMINACIÓN DE LA TINTA Y FABRICACIÓN DE PASTA DE DESECHOS DE PAPEL PAPELES USADOS; O A PARTIR DE RESIDUOS TEXTILES, COMO BORRAS DE ALGODÓN."
C1701.03       ,FABRICACIÓN DE PAPEL Y CARTÓN PARA SU POSTERIOR ELABORACIÓN INDUSTRIAL.
C1701.04       ,"TRATAMIENTO INDUSTRIAL POSTERIOR DE PAPEL Y CARTÓN: REVESTIMIENTO, RECUBRIMIENTO E IMPREGNACIÓN DE PAPEL Y CARTÓN; PAPELES LAMINADOS, PAPEL ALUMINIO, PAPEL KRAFT, CARTULINA, PAPEL MULTILAMINAR, PAPELES ABSORBENTES, PAPEL PERGAMINO, PAPEL CIGARRILLO, PAPEL RIZADO O PLEGADO, ETCÉTERA."
C1701.05       ,FABRICACIÓN DE PAPEL DE PERIÓDICO Y OTROS PAPELES PARA IMPRIMIR Y ESCRIBIR.
C1701.06       ,"SERVICIOS DE APOYO A LA FABRICACIÓN DE PASTA DE MADERA, PAPEL Y CARTÓN A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO."
C1701.09       ,"ELABORACIÓN DE OTROS TIPOS DE PAPEL: PAPEL CARBÓN O PAPEL ESTÉNCIL EN ROLLOS U HOJAS GRANDES, PAPEL HECHO A MANO, FABRICACIÓN DE GUATA DE CELULOSA Y TIRAS DE FIBRAS DE CELULOSA ETCÉTERA."
C1702          ,FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN.
C1702.0        ,FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN.
C1702.01       ,FABRICACIÓN DEL PAPEL Y CARTÓN ONDULADOS O CORRUGADO.
C1702.02       ,"FABRICACIÓN DE ENVASES DE PAPEL O DE CARTÓN ONDULADO, RÍGIDO O PLEGABLE: CAJAS, CAJONES, ESTUCHES, ENVASES, ARCHIVADORES DE CARTÓN DE OFICINA Y ARTÍCULOS SIMILARES."
C1702.03       ,FABRICACIÓN DE SACOS Y DE BOLSAS DEL PAPEL.
C1702.04       ,SERVICIOS DE APOYO A LA FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
C1709          ,FABRICACIÓN DE OTROS ARTÍCULOS DEL PAPEL Y CARTÓN.
C1709.1        ,"FABRICACIÓN DE ARTÍCULOS DE PAPEL Y GUATA DE CELULOSA PARA USO DOMÉSTICO, SANITARIO E HIGIÉNICO."
C1709.11       ,"FABRICACIÓN DE PRODUCTOS DE PAPEL DE HIGIENE PERSONAL Y PRODUCTOS DE GUATA DE CELULOSA Y MATERIALES TEXTILES: PAÑUELOS DE LIMPIEZA, TOALLAS, SERVILLETAS, PAPEL HIGIÉNICO, TOALLAS SANITARIAS Y TAMPONES, TOALLAS PARA DESMAQUILLAR, PAÑALES PARA BEBES Y SIMILARES, ETCÉTERA."
C1709.12       ,"FABRICACIÓN DE ARTÍCULOS DE USO DOMÉSTICOS VASOS, PLATOS Y BANDEJAS, BANDEJAS PARA GUARDAR HUEVOS Y OTROS PRODUCTOS PARA ENVASADO, DE PAPEL O CARTÓN MOLDEADO."
C1709.13       ,"ELABORACIÓN DE BOBINAS, CARRETES, TAPAS, ETCÉTERA, DE PAPEL O CARTÓN."
C1709.14       ,"ELABORACIÓN DE PAPEL PARA EMPAPELAR Y CUBRIMIENTOS SIMILARES PARA PARED, INCLUIDO PAPEL DE EMPAPELAR TEXTIL Y RECUBIERTO DE VINILO, REVESTIMIENTO PARA VIDRIOS."
C1709.15       ,ELABORACIÓN DE PRENDAS Y COMPLEMENTOS DE VESTIR DE PAPEL O GUATA DE CELULOSA.
C1709.2        ,FABRICACIÓN DE ARTÍCULOS DE PAPELERÍA Y OTROS ARTÍCULOS DE PAPEL Y CARTÓN.
C1709.21       ,"FABRICACIÓN DE PAPEL PARA IMPRESORA DE COMPUTADORA; PAPEL PARA IMPRIMIR Y ESCRIBIR U OTROS USOS GRÁFICOS LISTO PARA USAR, CORTADO O PERFORADO, RAYADO, ETCÉTERA (PAPEL BOND, ETIQUETA, COUCHÉ)."
C1709.22       ,"ELABORACIÓN DE PAPEL DE ESTÉNCIL, AUTOCOPIA Y OTROS PAPELES PARA COPIAR O TRANSFERIR, LISTO PARA USAR."
C1709.23       ,"FABRICACIÓN DE PAPEL ENGOMADO O ADHESIVO LISTO PARA USAR (CINTAS O ROLLOS), ELABORACIÓN DE SOBRES, AEROGRAMAS, CARTAS Y TARJETAS."
C1709.24       ,"FABRICACIÓN DE REGISTROS, LIBROS DE CONTABILIDAD, CUADERNOS Y ARTÍCULOS DE PAPELERÍA SIMILARES DE USO EDUCATIVO O COMERCIAL, CUANDO LA INFORMACIÓN IMPRESA NO CONSTITUYA SU CARACTERÍSTICA PRINCIPAL."
C1709.25       ,"FABRICACIÓN DE CAJAS, BOLSAS (FUNDAS), CARPETAS Y JUEGOS DE ESCRITORIO QUE CONTENGAN UNA VARIEDAD DE ARTÍCULOS DE PAPELERÍA, RECADOS DE ESCRIBIR QUE CONTIENEN PAPEL PARA CORRESPONDENCIA, ESQUELAS O TARJETAS POSTALES EN BLANCO, ETCÉTERA."
